"Time","Values"
2021-06-05 16:10:00,0.0605
2021-06-05 16:10:15,0.0610
2021-06-05 16:10:30,0.0604
2021-06-05 16:10:45,261
2021-06-05 16:11:00,199
2021-06-05 16:11:15,194
2021-06-05 16:11:30,106
2021-06-05 16:11:45,198
2021-06-05 16:12:00,193
2021-06-05 16:12:15,157
2021-06-05 16:12:30,196
2021-06-05 16:12:45,184
2021-06-05 16:13:00,173
2021-06-05 16:13:15,137
2021-06-05 16:13:30,186
2021-06-05 16:13:45,171
2021-06-05 16:14:00,161
2021-06-05 16:14:15,186
2021-06-05 16:14:30,177
2021-06-05 16:14:45,177
2021-06-05 16:15:00,195
2021-06-05 16:15:15,185
2021-06-05 16:15:30,173
2021-06-05 16:15:45,187
2021-06-05 16:16:00,179
2021-06-05 16:16:15,155
2021-06-05 16:16:30,0.0599
2021-06-05 16:16:45,87.7
2021-06-05 16:17:00,165
2021-06-05 16:17:15,198
2021-06-05 16:17:30,190
2021-06-05 16:17:45,149
2021-06-05 16:18:00,198
2021-06-05 16:18:15,191
2021-06-05 16:18:30,125
2021-06-05 16:18:45,164
2021-06-05 16:19:00,198
2021-06-05 16:19:15,192
2021-06-05 16:19:30,120
2021-06-05 16:19:45,199
2021-06-05 16:20:00,181
2021-06-05 16:20:15,131
2021-06-05 16:20:30,178
2021-06-05 16:20:45,201
2021-06-05 16:21:00,176
2021-06-05 16:21:15,140
2021-06-05 16:21:30,199
2021-06-05 16:21:45,166
2021-06-05 16:22:00,145
2021-06-05 16:22:15,186
2021-06-05 16:22:30,0.0609
2021-06-05 16:22:45,38.6
2021-06-05 16:23:00,198
2021-06-05 16:23:15,200
2021-06-05 16:23:30,142
2021-06-05 16:23:45,192
2021-06-05 16:24:00,201
2021-06-05 16:24:15,137
2021-06-05 16:24:30,177
2021-06-05 16:24:45,201
2021-06-05 16:25:00,172
2021-06-05 16:25:15,150
2021-06-05 16:25:30,202
2021-06-05 16:25:45,167
2021-06-05 16:26:00,167
2021-06-05 16:26:15,199
2021-06-05 16:26:30,161
2021-06-05 16:26:45,171
2021-06-05 16:27:00,199
2021-06-05 16:27:15,168
2021-06-05 16:27:30,169
2021-06-05 16:27:45,198
2021-06-05 16:28:00,189
2021-06-05 16:28:15,61.9
2021-06-05 16:28:30,0.0000647
2021-06-05 16:28:45,0.000111

